app_class,scenario,device,energy
TwoDCNSApps,Router_Only,cloud ,4828639.876607137
TwoDCNSApps,Router_Only,proxy-server ,0.0
TwoDCNSApps,Router_Only,d-0 ,342608.2312557142
TwoDCNSApps,Router_Only,m-0-0 ,322691.4266666681
TwoDCNSApps,Router_Only,m-0-1 ,322691.4266666681
TwoDCNSApps,Router_Only,m-0-2 ,322691.4266666681
TwoDCNSApps,Router_Only,m-0-3 ,322691.4266666681
HighResTwoDCNSApps,Router_Only,cloud ,4928736.181785716
HighResTwoDCNSApps,Router_Only,proxy-server ,0.0
HighResTwoDCNSApps,Router_Only,d-0 ,362443.6584800001
HighResTwoDCNSApps,Router_Only,m-0-0 ,326058.58666666836
HighResTwoDCNSApps,Router_Only,m-0-1 ,326058.58666666836
HighResTwoDCNSApps,Router_Only,m-0-2 ,326058.58666666836
HighResTwoDCNSApps,Router_Only,m-0-3 ,326058.58666666836
LowResTwoDCNSApps,Router_Only,cloud ,4928484.045446432
LowResTwoDCNSApps,Router_Only,proxy-server ,0.0
LowResTwoDCNSApps,Router_Only,d-0 ,341240.03980714217
LowResTwoDCNSApps,Router_Only,m-0-0 ,323888.2466666692
LowResTwoDCNSApps,Router_Only,m-0-1 ,323888.2466666692
LowResTwoDCNSApps,Router_Only,m-0-2 ,323888.2466666692
LowResTwoDCNSApps,Router_Only,m-0-3 ,323888.2466666692
TwoDCNSApps,Router_Proxy,cloud ,4830470.425178565
TwoDCNSApps,Router_Proxy,proxy-server ,373975.33375066996
TwoDCNSApps,Router_Proxy,d-0 ,333619.5594728599
TwoDCNSApps,Router_Proxy,m-0-0 ,322691.4266666681
TwoDCNSApps,Router_Proxy,m-0-1 ,322691.4266666681
TwoDCNSApps,Router_Proxy,m-0-2 ,322691.4266666681
TwoDCNSApps,Router_Proxy,m-0-3 ,322691.4266666681
HighResTwoDCNSApps,Router_Proxy,cloud ,4932469.587500002
HighResTwoDCNSApps,Router_Proxy,proxy-server ,386782.1179120061
HighResTwoDCNSApps,Router_Proxy,d-0 ,344184.2229014313
HighResTwoDCNSApps,Router_Proxy,m-0-0 ,326058.58666666836
HighResTwoDCNSApps,Router_Proxy,m-0-1 ,326058.58666666836
HighResTwoDCNSApps,Router_Proxy,m-0-2 ,326058.58666666836
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,326058.58666666836
LowResTwoDCNSApps,Router_Proxy,cloud ,4929688.554017865
LowResTwoDCNSApps,Router_Proxy,proxy-server ,376022.5422260071
LowResTwoDCNSApps,Router_Proxy,d-0 ,333913.816758576
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,323888.2466666692
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,323888.2466666692
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,323888.2466666692
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,323888.2466666692
TwoDCNSApps,Router_Cloud,cloud ,5070614.089285722
TwoDCNSApps,Router_Cloud,proxy-server ,0.0
TwoDCNSApps,Router_Cloud,d-0 ,333619.5594728599
TwoDCNSApps,Router_Cloud,m-0-0 ,322691.4266666681
TwoDCNSApps,Router_Cloud,m-0-1 ,322691.4266666681
TwoDCNSApps,Router_Cloud,m-0-2 ,322691.4266666681
TwoDCNSApps,Router_Cloud,m-0-3 ,322691.4266666681
HighResTwoDCNSApps,Router_Cloud,cloud ,5109432.668214334
HighResTwoDCNSApps,Router_Cloud,proxy-server ,0.0
HighResTwoDCNSApps,Router_Cloud,d-0 ,344184.2229014313
HighResTwoDCNSApps,Router_Cloud,m-0-0 ,326058.58666666836
HighResTwoDCNSApps,Router_Cloud,m-0-1 ,326058.58666666836
HighResTwoDCNSApps,Router_Cloud,m-0-2 ,326058.58666666836
HighResTwoDCNSApps,Router_Cloud,m-0-3 ,326058.58666666836
LowResTwoDCNSApps,Router_Cloud,cloud ,5097459.080178656
